I = 20;
M = 22;
J = 15;
r = 6;
beta = -0.4;

potrosac = [<22.70,17.60>, <21.02,34.01>, <12.94,7.73>, <2.09,32.69>, <33.22,11.96>, <25.76,48.47>, <23.67,38.31>, <17.53,27.60>, <38.94,34.90>, <29.87,14.73>, <2.82,24.11>, <36.14,17.99>, <36.33,23.55>, <3.49,29.05>, <27.46,16.09>, <9.96,49.28>, <29.28,36.22>, <2.11,36.66>, <8.07,24.16>, <19.69,19.45>];
objekat = [<12.25,32.37>, <8.49,20.24>, <35.17,9.54>, <21.16,11.47>, <20.69,11.56>, <35.15,41.73>, <24.06,35.61>, <37.74,40.39>, <40.11,32.87>, <36.94,36.47>, <26.15,39.80>, <9.46,35.99>, <31.92,27.04>, <30.22,45.91>, <39.48,34.53>];
konkurencija = [<39.54,10.13>, <47.25,42.50>, <24.57,43.81>, <27.49,45.92>, <24.43,48.88>, <37.20,32.91>, <49.71,34.77>];

q = [3,9,6,4,4,3,4,9,2,6,10,6,10,8,2,7,2,3,7,5];
